rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[2.24 4.   2.24],9957,2569,4791,2597,3,1,1,1,8,8,14,1
[2.24 4.   4.  ],12240,2719,4738,4783,4,1,1,2,10,10,12,3
[4.   0.59 0.59],6238,4875,698,665,3,1,1,1,8,6,7,0
[4.   0.59 2.24],8112,4732,678,2702,5,2,2,1,14,12,15,1
[4.   0.59 4.  ],10347,4826,735,4786,6,3,1,2,16,16,21,3
[4.   2.24 0.59],8248,4807,2688,753,5,3,1,1,14,14,18,3
[4.   2.24 2.24],10123,4662,2770,2691,5,3,1,1,14,11,15,2
[4.   2.24 4.  ],12184,4804,2639,4741,6,3,1,2,16,16,21,3
[4.   4.   0.59],10210,4758,4748,704,4,2,1,1,11,11,15,3
[4.   4.   2.24],12336,4853,4827,2656,5,3,1,1,14,14,19,3
[4 4 4],14414,4833,4739,4842,6,3,1,2,16,16,22,3
[0.59 0.59 0.59],2111,665,720,726,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4154,714,746,2694,3,1,1,1,8,7,8,2
[0.59 0.59 4.  ],6259,695,725,4839,3,1,0,2,7,7,8,2
[0.59 2.24 0.59],4103,675,2753,675,3,1,1,1,8,7,7,2
[0.59 2.24 2.24],6173,691,2674,2808,4,1,1,2,10,9,10,2
[0.59 2.24 4.  ],8187,727,2690,4770,4,1,1,2,10,9,10,2
[0.59 4.   0.59],6277,718,4804,755,3,1,1,1,8,7,7,2
[0.59 4.   2.24],8407,764,4938,2705,4,1,1,2,10,10,12,3
[0.59 4.   4.  ],10197,733,4696,4768,4,1,1,2,10,9,16,2
[2.24 0.59 0.59],4120,2723,701,696,3,1,1,1,8,7,7,1
[2.24 0.59 2.24],6006,2662,735,2609,3,1,0,2,7,7,8,2
[2.24 0.59 4.  ],8167,2698,717,4752,5,1,1,3,12,12,14,3
[2.24 2.24 0.59],6091,2743,2637,711,3,1,1,1,8,7,8,2
[2.24 2.24 2.24],8019,2600,2685,2734,3,1,1,1,8,7,12,1
[2.24 2.24 4.  ],10216,2711,2639,4866,4,1,1,2,10,10,11,3
[2.24 4.   0.59],8183,2718,4810,655,5,1,2,2,13,11,18,1
[2.24 4.   2.24],10272,2765,4802,2705,5,1,2,2,13,11,19,1
[2.24 4.   4.  ],12310,2778,4705,4827,5,1,1,3,12,12,15,3
[4.   0.59 0.59],6243,4848,682,713,4,2,1,1,11,10,12,1
