rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[7.11 2.13 2.13],13761,8583,2562,2616,13,8,2,3,36,35,38,0.00254341980960686,0.002761427221858877,1
[8.09 2.42 2.42],15917,9930,2945,3042,14,10,1,3,39,33,38,0.002073255010366275,0.0023873845573914683,2
[8.92 2.67 2.67],17016,10543,3285,3188,14,10,1,3,39,34,42,0.0019981194170192763,0.002468265162200282,0
[0.59  0.177 0.177],1164,690,238,236,2,1,0,1,5,5,5,0.00429553264604811,0.00429553264604811,0
[2.24  0.672 0.672],4258,2695,753,810,5,3,1,1,14,11,12,0.002583372475340536,0.002818224518553311,0
[4.  1.2 1.2],7807,4997,1416,1394,7,5,1,1,20,17,19,0.002177532983220187,0.002433713334187268,2
[6.79 2.03 2.03],13173,8168,2451,2554,12,8,1,3,33,28,32,0.002125559857283838,0.0024292112654672442,0
[7.11 2.13 2.13],13716,8626,2590,2500,12,9,1,2,34,29,34,0.002114319043452902,0.0024788568095654713,2
[8.09 2.42 2.42],15503,9652,2974,2877,13,9,1,3,36,36,37,0.0023221312004128233,0.002386634844868735,3
[8.92 2.67 2.67],17146,10792,3241,3113,15,11,1,3,42,36,42,0.0020996150705703954,0.002449550915665461,2
[0.59  0.177 0.177],1186,728,237,221,3,1,1,1,8,6,6,0.005059021922428329,0.005059021922428329,0
[2.24  0.672 0.672],4315,2668,815,832,5,3,1,1,14,12,13,0.002780996523754345,0.0030127462340672076,0
[4.  1.2 1.2],7595,4780,1427,1388,6,4,1,1,17,14,17,0.0018433179723502304,0.002238314680710994,0
[6.79 2.03 2.03],12947,8110,2374,2463,12,8,2,2,34,28,33,0.002162663165212018,0.002548853016142736,0
[7.11 2.13 2.13],13620,8595,2460,2565,12,8,1,3,33,29,33,0.0021292217327459613,0.002422907488986784,2
[8.09 2.42 2.42],15696,9873,2963,2860,14,9,1,4,38,33,38,0.002102446483180428,0.0024209989806320076,2
[8.92 2.67 2.67],17051,10742,3100,3209,15,11,1,3,42,36,42,0.002111313119465134,0.00246319863937599,2
[0.59  0.177 0.177],1132,716,193,223,3,1,1,1,8,6,6,0.00530035335689046,0.00530035335689046,0
[2.24  0.672 0.672],4303,2621,862,820,5,3,1,1,14,12,13,0.0027887520334650244,0.0030211480362537764,0
[4.  1.2 1.2],7601,4754,1438,1409,8,5,1,2,22,18,22,0.0023681094592816736,0.0028943560057887122,0
[6.79 2.03 2.03],13043,8162,2409,2472,12,8,1,3,33,29,33,0.0022234148585448133,0.002530092770068236,2
[7.11 2.13 2.13],13585,8585,2491,2509,12,8,1,3,33,33,34,0.0024291497975708503,0.0025027603974972397,3
[8.09 2.42 2.42],15556,9748,2858,2950,14,10,1,3,39,34,40,0.0021856518385188995,0.0025713551041398816,0
[8.92 2.67 2.67],17151,10666,3244,3241,15,11,1,3,42,36,41,0.002099002973587546,0.0023905311643635943,2
