rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
4.5,139,292,158,744,0.541095890410959,4.708860759493671,3
5.0,165,351,208,991,0.5925925925925926,4.7644230769230775,3
5.5,160,337,204,981,0.6053412462908012,4.8088235294117645,3
6.0,180,363,218,1037,0.6005509641873278,4.756880733944954,3
0.5,22,33,13,41,0.3939393939393939,3.1538461538461537,2
1.0,34,62,27,107,0.4354838709677419,3.962962962962963,2
1.5,49,101,48,213,0.4752475247524752,4.4375,2
2.0,51,122,48,208,0.3934426229508197,4.333333333333333,2
2.5,70,136,44,182,0.3235294117647059,4.136363636363637,3
3.0,100,216,114,536,0.5277777777777778,4.701754385964914,3
3.5,120,241,138,656,0.5726141078838174,4.753623188405797,3
4.0,118,250,132,617,0.528,4.674242424242424,3
4.5,146,306,184,874,0.6013071895424836,4.75,3
5.0,143,297,181,868,0.6094276094276094,4.795580110497237,3
5.5,163,354,171,806,0.4830508474576271,4.713450292397662,3
6.0,184,353,215,1027,0.6090651558073654,4.776744186046511,3
0.5,19,28,11,34,0.3928571428571429,3.0909090909090913,0
1.0,25,55,23,88,0.41818181818181815,3.8260869565217392,2
1.5,39,91,28,111,0.3076923076923077,3.9642857142857135,2
2.0,71,132,69,308,0.5227272727272727,4.463768115942028,3
2.5,58,125,59,273,0.47200000000000003,4.627118644067797,2
3.0,78,156,56,251,0.35897435897435903,4.482142857142857,2
3.5,102,186,75,337,0.4032258064516129,4.493333333333333,3
4.0,125,247,152,721,0.6153846153846154,4.743421052631579,1
4.5,130,275,135,633,0.4909090909090909,4.688888888888889,3
5.0,160,291,141,666,0.4845360824742268,4.723404255319148,3
5.5,166,311,162,763,0.5209003215434084,4.709876543209877,3
6.0,157,326,179,844,0.549079754601227,4.715083798882682,3
0.5,12,25,8,14,0.32,1.75,2
1.0,29,61,24,89,0.3934426229508197,3.7083333333333335,2
1.5,48,102,53,236,0.5196078431372549,4.452830188679245,2
2.0,65,115,39,162,0.3391304347826087,4.153846153846153,1
2.5,78,168,100,467,0.5952380952380952,4.67,3
3.0,86,189,85,395,0.4497354497354497,4.647058823529412,2
3.5,104,191,78,357,0.4083769633507853,4.5769230769230775,3
4.0,129,272,172,818,0.6323529411764706,4.755813953488372,3
4.5,128,245,139,654,0.5673469387755102,4.705035971223022,3
5.0,162,340,121,549,0.3558823529411765,4.537190082644628,3
5.5,171,338,214,1022,0.6331360946745562,4.775700934579438,3
6.0,176,362,196,932,0.5414364640883977,4.755102040816326,3
0.5,14,28,8,19,0.2857142857142857,2.375,2
1.0,30,59,23,89,0.3898305084745763,3.8695652173913038,0
1.5,63,118,64,284,0.5423728813559322,4.4375,3
2.0,62,134,50,219,0.373134328358209,4.38,2
2.5,73,159,79,366,0.4968553459119497,4.632911392405063,3
3.0,93,200,82,365,0.41,4.451219512195122,3
3.5,122,251,150,707,0.5976095617529881,4.713333333333333,3
4.0,121,240,141,665,0.5875,4.716312056737588,3
4.5,145,306,161,765,0.5261437908496732,4.751552795031056,1
5.0,165,337,192,917,0.56973293768546,4.776041666666667,3
5.5,146,298,170,808,0.5704697986577181,4.752941176470588,3
6.0,180,360,143,662,0.3972222222222222,4.629370629370629,3
0.5,17,35,13,41,0.37142857142857133,3.1538461538461537,2
1.0,40,79,45,199,0.569620253164557,4.422222222222223,0
1.5,43,101,47,201,0.4653465346534654,4.276595744680851,2
2.0,43,74,32,128,0.4324324324324325,4.0,2
2.5,78,155,86,397,0.5548387096774193,4.616279069767441,3
3.0,90,201,92,425,0.4577114427860697,4.619565217391305,3
3.5,122,255,126,591,0.4941176470588236,4.690476190476192,3
4.0,136,283,134,626,0.4734982332155477,4.6716417910447765,3
4.5,144,275,163,776,0.5927272727272728,4.7607361963190185,3
5.0,145,288,169,803,0.5868055555555556,4.7514792899408285,3
